	UHR_rep1	UHR_rep2	UHR_rep3	HBR_rep1	HBR_rep2	HBR_rep3
ENST00000615943.1	0	0	0	0	0	0
ENST00000618365.1	0	0	0	0	0	0
ENST00000623473.1	0	0	0	0	0	0
ENST00000624155.1	0	0	0	0	0	0
ENST00000422332.1	0	1	0	0	0	0
ENST00000612732.1	0	0	0	0	0	0
ENST00000614148.1	0	0	0	0	0	0
ENST00000614087.1	0	0	0	0	0	0
ENST00000621672.1	0	0	0	0	0	0
ENST00000610677.1	0	0	0	0	0	0
ENST00000619651.1	0	0	0	0	0	0
ENST00000613866.1	0	0	0	0	0	0
ENST00000612723.1	0	0	0	0	0	0
ENST00000616285.1	0	0	0	0	0	0
ENST00000610386.1	0	0	0	0	0	0
ENST00000618158.1	0	0	0	0	0	0
ENST00000621797.1	0	0	0	0	0	0
ENST00000613107.1	0	0	0	0	0	0
ENST00000623391.1	12	12	8	3	7	3
ENST00000448473.1	0	0	0	0	0	0
ENST00000623199.1	1	13	4	2	3	2
ENST00000425869.1	0	1	0	0	0	0
ENST00000441221.1	0	0	0	0	0	0
ENST00000429435.1	0	0	0	0	0	0
ENST00000252835.4	0	0	0	0	0	0
ENST00000412729.1	0	0	0	0	0	0
ENST00000443989.1	0	2	0	0	0	0
ENST00000444162.1	0	1	0	0	0	0
ENST00000417863.1	0	2	0	0	0	0
ENST00000456143.1	0	0	0	0	0	0
ENST00000447704.1	0	0	0	0	0	0
ENST00000428118.1	0	2	0	0	0	0
ENST00000438441.1	0	1	0	0	0	0
ENST00000440999.1	0	0	0	0	0	0
ENST00000426025.1	1	1	0	0	0	0
ENST00000435410.1	0	0	0	0	0	0
ENST00000343518.10	0	7	9	0	0	0
ENST00000621704.4	6	0	2	0	0	1
ENST00000452800.1	2	0	0	0	0	0
ENST00000422014.1	0	1	0	0	0	0
ENST00000390914.1	0	0	0	0	0	0
ENST00000417657.1	2	2	2	0	0	0
ENST00000453395.5	2	1	0	0	0	0
ENST00000423297.1	0	1	0	0	0	0
ENST00000438574.1	0	0	0	0	0	0
ENST00000413768.5	52	55	27	0	3	1
ENST00000437781.5	70	31	56	1	0	0
