pert_desc	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	score
GSK-2126458	BRD-K42918627	A375	0.37	um	24	h	0.0592
vorinostat	BRD-K81418486	HCC515	10.0	um	24.0	h	0.0526
vorinostat	BRD-K81418486	HCC515	11.1	um	24.0	h	0.0526
PP-110	BRD-K03618428	HT29	22.2	um	24.0	h	0.0526
torin-2	BRD-K68174511	A549	0.37	um	24	h	0.0526
erlotinib	BRD-K70401845	MCF10A	1.11	um	24	h	0.0526
PD-184352	BRD-K05104363	MCF10A	3.33	um	24	h	0.0526
AZD-8330	BRD-K37687095	MCF10A	0.04	um	24	h	0.0526
selumetinib	BRD-K57080016	A375	0.37	um	24	h	0.0526
NVP-TAE684	BRD-K50140147	A375	3.33	um	24	h	0.0526
selumetinib	BRD-K57080016	MCF10A	1.11	um	24	h	0.0526
vorinostat	BRD-K81418486	HCC515	10.0	um	24.0	h	0.0461
wortmannin	BRD-A75409952	A549	10.0	um	24.0	h	0.0461
KU 0060648 trihydrochloride	BRD-K09499853	A375	10.0	um	24.0	h	0.0461
-666	BRD-K57080016	A375	80.0	um	24.0	h	0.0461
-666	BRD-K81473043	A375	0.35	um	24.0	h	0.0461
TG101348	BRD-K12502280	HCC515	11.1	um	24.0	h	0.0461
TG101348	BRD-K12502280	HT29	11.1	um	24.0	h	0.0461
geldanamycin	BRD-A19500257	MCF7	10.0	um	24.0	h	0.0461
KU 0060648 trihydrochloride	BRD-K09499853	MCF7	10.0	um	24.0	h	0.0461
AZD8055	BRD-K69932463	MCF7	10.0	um	24.0	h	0.0461
A112550.cdx	BRD-K56301217	VCAP	11.1	um	24.0	h	0.0461
AZD8055	BRD-K69932463	VCAP	10.0	um	24.0	h	0.0461
wortmannin	BRD-A75409952	VCAP	10.0	um	24.0	h	0.0461
S1030	BRD-K02130563	ASC	10.0	um	24.0	h	0.0461
-666	BRD-K34014345	MCF7	10.0	um	24.0	h	0.0461
PLX-4720	BRD-K16478699	A375	0.37	um	24	h	0.0461
TGX-221	BRD-A41692738	A375	0.37	um	24	h	0.0461
NVP-BEZ235	BRD-K12184916	A549	1.11	um	24	h	0.0461
TG-101348	BRD-K12502280	A549	10	um	24	h	0.0461
NVP-BEZ235	BRD-K12184916	A549	0.37	um	24	h	0.0461
dovitinib	BRD-K85402309	HEPG2	10	um	24	h	0.0461
trametinib	BRD-K12343256	MCF10A	1.11	um	24	h	0.0461
trametinib	BRD-K12343256	MCF10A	0.37	um	24	h	0.0461
palbociclib	BRD-K51313569	HT29	0.37	um	24	h	0.0461
ZSTK-474	BRD-K63068307	LNCAP	0.37	um	24	h	0.0461
PI-103	BRD-K67868012	LNCAP	1.11	um	24	h	0.0461
GDC-0941	BRD-K52911425	LNCAP	3.33	um	24	h	0.0461
MK-2206	BRD-K68065987	LNCAP	3.33	um	24	h	0.0461
AZD-8055	BRD-K69932463	LNCAP	0.12	um	24	h	0.0461
selumetinib	BRD-K57080016	MCF10A	10	um	24	h	0.0461
TWS119	BRD-K94176593	HA1E	10.0	um	24.0	h	0.0395
PKC-412	BRD-K13646352	HCC515	10.0	um	24.0	h	0.0395
trichostatin A	BRD-A19037878	HA1E	10.0	um	6.0	h	0.0395
Nutlin-3	BRD-A12230535	A375	44.4	um	24.0	h	0.0395
BMS-754807	BRD-K13049116	A375	10.0	um	24.0	h	0.0395
PLX-4032	BRD-K56343971	A375	10.0	um	24.0	h	0.0395
HDAC6 inhibitor ISOX	BRD-K69840642	A375	10.0	um	24.0	h	0.0395
vorinostat	BRD-K81418486	A375	10.0	um	24.0	h	0.0395
trichostatin A	BRD-A19037878	HA1E	10.0	um	24.0	h	0.0395
